name;category;brand;price;article;description
Якорь Дэнфорта оцинкованный;Якоря;Бренд не указан;25 662 руб.;77104003;Классическая конструкция якоря Danforth имеет сближенные плоские треугольные лапы, удлинённый шток внизу и обтекаемую головную часть. Оптимален для контакта с илистой, песочной поверхностью или с мелким гравием. Зарываясь в грунт, якорь достигает твёрдой основы, обеспечивая надёжность крепления на глубине, в 3-4 раза превышающей длину лап. Держащая сила до 50 кг на каждый килограмм якоря.
Якорь Брюса оцинкованный;Якоря;Бренд не указан;19 209 руб.;77140005;Изобретение шотландцев, которые знают толк в судостроении, - бесштоковый однорогий якорь Брюса. Уникальные загибы на плоской лапе и острое изнутри веретено якоря Брюса помогают ему безупречно зарываться в грунт даже при падении на бок. Держащая сила достигает 30 кг на каждый килограмм веса якоря.
Якорь Брюса Maxwell MAXCLAW из 316 морской нержавеющей стали;Якоря;Maxwell;35 887 руб.;P105060;Якорь изготовлен из 316 морской нержавеющей стали, что позволяет успешно эксплуатировать его в солёной воде. Предназначен для судов размером от 4 до 18 метров. Используется как становой якорь для катеров, яхт и лодок. Держащая сила достигает 30 кг на каждый килограмм веса якоря. Аналог Talamex, Аналог Combi Noord.
Якорь Кошка оцинкованный;Якоря;Бренд не указан;2 038 руб.;EU01.139.00;Стальной оцинкованный якорь, отлично подходящий для использования на маломерных судах, в том числе на речных лодках и катерах. Удобно хранится и транспортируется благодаря складным лопастям. 4-5 килограммовый якорь-кошка прекрасно держит лодки водоизмещением до 400 кг на любом типе грунта. Якорь и точка.
Якорь Плуг Maxwell MAXSET оцинкованный;Якоря;Maxwell;7 813 руб.;P105069;Стальной гальванизированный якорь повышенной держащей силы. Скоростное проникновение в грунт при протаскивании по дну и высокое сопротивление движению делают этот якорь надёжным помощником при стоянке. Держащая сила - от 13,5 до 18,0 кг на каждый килограмм веса якоря. Плуг MAXSET подходит судам длиной от 4 до 17 метров. Аналог Exalto
Якорный трос Maxwell (за 1 м.);Якоря;Maxwell;861 руб.;SP3167;Высокопрочный 8-ми прядный нейлоновый якорный трос от компании Maxwell. Прекрасно подходит судам длиной до 20 метров. Длина якорного троса варьируется от 3 до 7 глубин под килем (при глубине менее 10 метров) в зависимости от силы ветра. Аналог Talamex.
Якорь Rocna оцинкованный;Якоря;Rocna;60 779 руб.;RMG04;Спроектированный новозеландским судостроителем Питером Смитом, этот якорь гарантирует надёжность, безопасность и уверенность при стоянке судна. Умный дизайн и держащая сила, как у скалы. Якорь всегда достигает дна под идеальным углом для проникновения, а острый и тяжёлый наконечник быстро и глубоко врезается в грунт. Это мультизадачный якорь, который можно использовать для большинства почв - от мягкой глины до жёсткого песка, травы, водорослей. Представлен в 14 размерах - от 4 до 275 кг. Имеет пожизненную гарантию производителя.
Якорь Плуг Maxwell MAXSET из 316 морской нержавеющей стали;Якоря;Maxwell;41 819 руб.;P105055;Якорь изготовлен из 316 морской нержавеющей стали. Прекрасно подходит для применения в солёной воде. Держащая сила - от 13,5 до 18,0 кг на каждый килограмм веса якоря. Плуг MAXSET подходит судам длиной от 4 до 17 метров. Аналог Exalto
Стопор якорной цепи Maxwell с настраиваемой высотой из 316 морской нержавеющей стали;Якоря;Maxwell;46 160 руб.;P104358;Якорный стопор инновационной модели отлично подходит для использования с вертикальными лебёдками. Теперь цепь легко выровнять по отношению к звёздочке - всего лишь изменить высоту стопора. Оптимален в использовании с цепями калибром 8, 10 или 12 мм. Применение совместно с системами VW позволит удержать трос при смене на цепь, одновременно сняв нагрузку с якорной лебёдки.
Якорь Матросова из 304 нержавеющей стали;Якоря;Бренд не указан;51 597 руб.;CN01005;Изобретение советского инженера Матросова, завоевал популярность в мире как якорь с повышенной держащей силой. Надёжен, устойчив, безопасен. Зарывшись в грунт, якорь не выходит из него даже при развороте судна на 360 градусов. Оптимален для слабого песчано-илистого и твёрдого мелкокаменистого грунта.
Якорная цепь Maxwell оцинкованная (за 1 м.);Якоря;Maxwell;1 078 руб.;SP3105;Якорная цепь из оцинкованной стали DIN 766 различного диаметра, подходят для лодок длиной от 4 до 24 метров. Калибр цепи может варьироваться от 6 до 13 мм, он определяется диаметром стального прута, из которого изготовлены звенья. Аналог Combi Noord.
Якорная скоба типа H 10 мм из 316 морской нержавеющей стали;Якоря;Бренд не указан;1 347 руб.;1285;Серьга, или такелажная скоба, особой «дутой» конструкции. Выполнена из морской нержавеющей стали, что позволяет успешно ее эксплуатировать даже в солёной воде. Прочно соединяет якорь и вертлюг. Применяется с вертлюгами размером 10-13 мм.
Якорный вертлюг рым/скоба из 316 морской нержавеющей стали;Якоря;Бренд не указан;2 880 руб.;1280;Классическая версия якорного вертлюга для соединения якоря с цепью. Морская нержавеющая сталь позволяет успешно применять его как в пресной, так и в солёной воде. Облегчает подъем якоря и помогает цепи или тросу аккуратнее ложиться в цепном ящике.
Крюк-натяжитель якорной цепи Maxwell тросовый;Якоря;Maxwell;10 997 руб.;SP3174;Для снятия нагрузки с якорной лебёдки, фиксации цепи и якоря на ходу судна широко применяются крюки-натяжители цепи. Такой крюк отлично подойдёт для использования с тросом диаметром 6, 8 или 10 мм.
Якорь Rocna из 316 морской нержавеющей стали;Якоря;Rocna;208 845 руб.;RMR04;Якорь Rocna обеспечивает надёжность, безопасность и уверенность при стоянке судна. Изготовлен из 316 морской нержавеющей стали, что позволяет использовать его и в холодных водах Антарктики и Аляски, и в тропических широтах. Это мультизадачный якорь, который применяется для большинства почв - от мягкой глины до жёсткого песка, травы, водорослей. Умный дизайн и держащая сила, как у скалы. Якорь всегда достигает дна под идеальным углом для проникновения, а острый и тяжёлый наконечник быстро и глубоко врезается в грунт. Представлен в 14 размерах - от 4 до 275 кг. Имеет пожизненную гарантию производителя.
Якорный кранец;Якоря;Бренд не указан;3 327 руб.;AN0419;Якорный кранец обеспечивает надежную защиту корпуса яхты от ударов якоря во время качки. Его специальный тип корпуса плотно прилегает к корпусу, предотвращая повреждения. Представлен в трех цветах: белом, синем и черном.
Стопор якорной цепи Maxwell с рычагом из 316 морской нержавеющей стали;Якоря;Maxwell;27 059 руб.;P104372;Стопор для цепей калибром 8, 10 или 13 мм. Представлен в трёх размерах в зависимости от калибра цепи. Гарантирует безопасность и предотвращает свободное падение при постановке на якорь или на полном ходу. Рекомендуется к использованию с системами серии VW для удерживания троса при смене на цепь.
Якорный роульс Maxwell из 316 морской нержавеющей стали;Якоря;Maxwell;12 588 руб.;P104332;Фиксированный носовой роульс для якорных цепей и комбинаций цепь+трос. Надёжно фиксирует и при необходимости направляет цепи небольшого калибра - до 13 мм. Отлично подходит для использования с лёгкими якорями. Представлен в трёх размерах - длиной от 205 до 444 мм и шириной от 72 до 110 мм.
Якорь Guardian алюминиевый;Якоря;Fortress;38 073 руб.;77128105;Выгодная модификация культового якоря Fortress. Якорь имеет стильный внешний вид и весит в два раза меньше благодаря производству из облегчённого сплава алюминия, при этом сохраняет высокую устойчивость к коррозии. Острота лап позволяет мгновенно проникать в грунт. Якорь легко разобрать и удобно хранить. Guardian - безопасная и доступная альтернатива очень крепким стальным якорям.
Якорный роульс Maxwell фиксированный с петлёй из 316 морской нержавеющей стали;Якоря;Maxwell;32 412 руб.;P104345;Фиксированный носовой роульс длиной 460 мм с петлёй для безопасного крепления якорной цепи. Обеспечивает неподвижность и надёжность фиксации. Отлично подходит для якорей типа Плуг и Брюса.
Стопор якорной цепи Maxwell компактный;Якоря;Maxwell;15 338 руб.;P104335;Самый простой и самый надёжный стопор якорной цепи Maxwell. Легендарный, он подходит для цепей диаметром 8 - 10 мм, служит для снятия нагрузки с якорной лебёдки. Моряки уважают его за его надёжность.
Якорная цепь Combi Noord оцинкованная (за 1 м.);Якоря;Бренд не указан;1 417 руб.;CN05G06;Оцинкованная якорная цепь DIN 766 различного диаметра. Для яхт и катеров длиной от 4 до 24 метров. Калибр цепи может варьироваться от 6 до 13 мм, он определяется диаметром стального прута, из которого изготовлены звенья.
Натяжитель короткозвенной якорной цепи Maxwell Tensioner;Якоря;Maxwell;Под заказ;P105072;Новинка от Maxwell - натяжитель короткозвенной якорной цепи калибром от 7 до 12 мм. Гарантирует надёжную фиксацию якоря в носовом роульсе во время движения судна. Он также снимает нагрузку с якорной цепи, к которой крепится одним концом, соединяя ее с кнехтом или уткой. Имеет запреты на использование во время стоянки на якоре и на закрепление на барабане лебёдки.
Якорная цепь Talamex из 316 нержавеющей стали (в наборе);Якоря;Бренд не указан;Под заказ;7110202;Метрическая цепь Цепь Talamex из нержавеющей стали  AISI 316 по размерам DIN 766. Специальные длины возможны на заказ. Цены указаны за метр. Возможен выбор размеров. Превосходное качество и самая лучшая цена.
Якорный вертлюг двойной из 316 морской нержавеющей стали;Якоря;Бренд не указан;10 606 руб.;127025;Двойной вертлюг для соединения якоря с цепью, регулирующийся одновременно в двух направлениях. Имеет размер 6-8 мм либо 10-13 мм. Применяется как в пресной, так и в солёной воде. Хорошо держит нагрузку на судах длиной до 20 метров, облегчая подъем якоря и помогая цепи или тросу аккуратнее ложиться в цепном ящике. Свободно проходит через носовой роульс.
